ACTION,RESOURCE,MGR_ID,ROLE_ROLLUP_1,ROLE_ROLLUP_2,ROLE_DEPTNAME,ROLE_TITLE,ROLE_FAMILY_DESC,ROLE_FAMILY,ROLE_CODE
1,13878,12456,117935,117936,117878,117879,117879,19721,117880
1,13878,27873,117978,117979,117884,117879,117886,19721,117880
1,13878,13262,118219,118220,118221,117879,117879,19721,117880
1,13878,12466,119402,119403,117895,117879,117897,19721,117880
1,13878,13278,118219,118220,117912,117879,117897,19721,117880
0,13878,54258,117890,118102,117878,117879,117879,19721,117880
1,13878,13199,117951,117952,117941,117879,117879,19721,117880
1,13878,13386,118219,118220,118221,117879,117897,19721,117880
0,13878,13037,118006,118007,118008,117879,117897,19721,117880
1,13878,14861,117890,117891,117878,117879,117879,19721,117880
1,13878,26172,118084,118085,117941,117879,117886,19721,117880
1,13878,22353,118138,118139,117884,117879,117886,19721,117880
1,13878,56775,117916,117917,117884,117879,117886,19721,117880
1,13878,6859,117978,117979,117884,117879,117886,19721,117880
1,13878,75345,118126,118237,117895,117879,117897,19721,117880
1,13878,12264,117929,117940,117941,117879,281735,19721,117880
1,13878,119058,118079,118080,117878,117879,118177,19721,117880
1,13878,50509,118079,118080,117878,117879,118177,19721,117880
0,13878,23666,118084,118085,117920,117879,117886,19721,117880
1,13878,55827,117929,117940,117941,117879,117886,19721,117880
1,13878,22871,118219,118220,118008,117879,117897,19721,117880
1,13878,58503,117975,117976,117884,117879,117886,19721,117880
1,13878,20440,117890,117891,117878,117879,117879,19721,117880
1,13878,65175,117993,117994,117895,117879,117897,19721,117880
1,13878,20439,117890,118102,117878,117879,117879,19721,117880
1,13878,57659,118084,118085,117884,117879,117886,19721,117880
1,13878,51165,117983,117984,117878,117879,117879,19721,117880
0,13878,11988,118742,118743,117941,117879,117897,19721,117880
1,13878,12191,117876,117877,117878,117879,117879,19721,117880
1,13878,58457,117926,118266,117941,117879,117886,19721,117880
1,13878,27511,118120,118121,117941,117879,117886,19721,117880
1,13878,1549,118084,118085,117884,117879,117886,19721,117880
0,13878,27515,118953,118954,117884,117879,117886,19721,117880
1,13878,3941,117876,117877,117878,117879,117879,19721,117880
1,13878,58648,118120,118121,124051,117879,145545,19721,117880
1,13878,19881,118006,118007,117941,117879,117897,19721,117880
0,13878,19885,117978,119216,117912,117879,121445,19721,117880
